Clavero,Código tarea std,Descripción componente,DEFINICION,Std Tasks Codes,Equipment description,DEFINITION,Fecha
FRE0604,FRE0604T70,Timonería,"Reparación o sustitución de elementos pertenecientes a Timoneria o Pinzas de freno y porta zapata en Cilindro de freno neumático en rueda como bulones, pasadores, tornillería de sujeción, etc…  
Se incluye reapriete de tornillería y engrase de elementos",FRE0604T70,Rigging,"Repair or replacement of elements belonging to the brake rigging or calipers and shoe holder on the pneumatic brake cylinder on the wheel such as bolts, pins, fasteners, etc... Includes retightening fasteners and lubrication of parts",
FRE0605,FRE0605T71,Cilindros sin freno de estacionamiento,"Sustitución y reparación posterior de Cilindro de freno neumático en rueda sin freno de estacionamiento  
Solo cilindro  
Timoneria, FRE0604",FRE0605T71,Brake calliper without parking brake,"Replacement and subsequent repair of pneumatic brake cylinder without parking brake  
Cylinder only  
Rigging in FRE0604",
FRE0606,FRE0606T71,Cilindros con freno de estacionamiento,"Sustitución y reparación posterior de Cilindro de freno en rueda con freno de estacionamiento  
Solo cilindro.  
Timoneria, FRE0604",FRE0606T71,Brake calliper with parking brake,"Replacement and subsequent repair of brake cylinder on wheel with parking brake  
Cylinder only.  
Rigging, FRE0604",
FRE0607,FRE0607T62,Dispositivos de desbloqueo,Sustitución y reparación posterior de Dispositivo de desbloqueo en Cilindro de freno en rueda,FRE0607T62,Release devices,Replacement and subsequent repair of the release device on the brake cylinder on the wheel,
FRE0607,FRE0607T70,Dispositivos de desbloqueo,"Reparación o sustitución de elementos pertenecientes al Dispositivo de desbloqueo de Cilindro de freno en rueda con freno de estacionamiento como bulones, palancas, pasadores, tornillería, etc…  
Se incluye reapriete de tornillería y engrase de elementos",FRE0607T70,Release devices,"Repair or replacement of elements belonging to the release device of the brake cylinder on the wheel with parking brake such as bolts, levers, pins, fasteners, etc... 
Includes retightening of fasteners and lubrication of parts",
FRE0608,FRE0608T16,Cables y tiradores de desbloqueo,Regulación de accionamiento de desbloqueo de Cilindro mediante cables y tiradores de desbloqueo en Cilindros de freno en rueda con freno de estacionamiento,FRE0608T16,Release cables and handles,Adjustment of the cylinder release actuation by means of release cables and handles on brake cylinders on the wheel with parking brake,
FRE0608,FRE0608T62,Cables y tiradores de desbloqueo,Sustitución y desecho de sirgas de desbloqueo de Cilindro de freno en rueda con freno de estacionamiento,FRE0608T62,Release cables and handles,Replacement and disposal of brake cylinder release cables on the wheel with parking brake,
FRE0608,FRE0608T70,Cables y tiradores de desbloqueo,"Reparación o sustitución de elementos pertenecientes al Sistema de desbloqueo de Cilindro de freno en rueda con freno de estacionamiento como sirgas, manetas, muelles, tornillería y fijaciones, etc…  
Reaprietes de tornillería y engrase de elementos",FRE0608T70,Release cables and handles,"Repair or replacement of elements belonging to the release system of the brake cylinder on wheel with parking brake such as cables, handles, springs, fasteners and fixings, etc... Retightening of fasteners and lubrication of parts",
FRE07,FRE07T79,Freno en disco neumático,"Denuncias de fallos en el funcionamiento de elementos pertenecientes al Freno en disco neumático como Fuelle, Mangas, Guarniciones, Timoneria, cilindros,  Dispositivos de desbloqueo y cables y tiradores de desbloqueo sin encontrar anomalía despues de la revision y comprobacion pertinente.",FRE07T79,Disk pneumatic brake,"Reports of failures in the functionality of parts belonging to Wheel pneumatic brake such as Bellow, Hoses, Brake pad, Rigging, Callipers, Release devices and Release cables and handles without finding an anomaly after the relevant inspection and check.",
FRE0701,FRE0701T62,Fuelle,Sustitución y desecho de Fuelle o guarda polvos en Cilindro de freno neumático en disco,FRE0701T62,Bellow,Replacement and disposal of the bellows or dust guard on the pneumatic brake cylinder on the disc,
FRE0702,FRE0702T62,Mangas,Sustitución y desecho de Manga de conexión de circuito neumático de bogie a Cilindro de freno neumático en disco,FRE0702T62,Hoses,Replacement and disposal of the connection hose from the bogie pneumatic circuit to the pneumatic brake cylinder on the disc,
FRE0703,FRE0703T62,Guarniciones,Sustitución y desecho de zapatas o pastillas de freno.,FRE0703T62,Brake pad,Replacement and disposal of brake pads.,
FRE0704,FRE0704T70,Timonería,"Reparación o sustitución de elementos pertenecientes a Timoneria o Pinzas de freno y porta zapata en Cilindro de freno neumático en disco como bulones, pasadores, tornillería de sujeción, etc…  
Se incluye reapriete de tornillería y engrase de elementos",FRE0704T70,Rigging,"Repair or replacement of elements belonging to the brake rigging or calipers and shoe holder on the pneumatic brake cylinder on the disc such as bolts, pins, fasteners, etc... 
Includes retightening fasteners and lubrication of parts",
FRE0705,FRE0705T71,Cilindros sin freno de estacionamiento,"Sustitución y reparación posterior de Cilindro de freno neumático en disco sin freno de estacionamiento  
Solo cilindro.  
Timoneria, FRE0704",FRE0705T71,Brake calliper without parking brake,"Replacement and subsequent repair of pneumatic brake cylinder on the disc without parking brake  
Cylinder only.  
Rigging, FRE0704",
FRE0706,FRE0706T71,Cilindros con freno de estacionamiento,"Sustitución y reparación posterior de Cilindro de freno en disco con freno de estacionamiento  
Solo cilindro  
Timoneria, FRE0704",FRE0706T71,Brake calliper with parking brake,"Replacement and subsequent repair of brake cylinder on the disc with parking brake  
Cylinder only.  
Rigging, FRE0704",
FRE0707,FRE0707T62,Dispositivos de desbloqueo,Sustitución y desecho de Dispositivo de desbloqueo en Cilindro de freno en disco,FRE0707T62,Release devices,Replacement and disposal of the release device on the brake cylinder on the disc,
FRE0707,FRE0707T70,Dispositivos de desbloqueo,"Reparación o sustitución de elementos pertenecientes al Dispositivo de desbloqueo de Cilindro de freno en disco con freno de estacionamiento como bulones, palancas, pasadores, tornillería, etc…  
Se incluye reapriete de tornillería y engrase de elementos",FRE0707T70,Release devices,"Repair or replacement of elements belonging to the release device of the brake cylinder on the disc with parking brake such as bolts, levers, pins, fasteners, etc... 
Includes retightening of fasteners and lubrication of parts",
FRE0708,FRE0708T16,Cables y tiradores de desbloqueo,Regulación de accionamiento de desbloqueo de Cilindro mediante cables y tiradores de desbloqueo en Cilindros de freno en disco con freno de estacionamiento,FRE0708T16,Release cables and handles,Adjustment of the cylinder release action by means of release cables and handles on brake cylinders on the disc with parking brake,
FRE0708,FRE0708T62,Cables y tiradores de desbloqueo,Sustitución y desecho de sirgas de desbloqueo de Cilindro de freno en disco con freno de estacionamiento,FRE0708T62,Release cables and handles,Replacement and disposal of brake cylinder release cables on the disc with parking brake,
FRE0708,FRE0708T70,Cables y tiradores de desbloqueo,"Reparación o sustitución de elementos pertenecientes al Sistema de desbloqueo de Cilindro de freno en disco con freno de estacionamiento como sirgas, manetas, muelles, tornillería y fijaciones, etc…  
Reaprietes de tornillería y engrase de elementos",FRE0708T70,Release cables and handles,"Repair or replacement of elements belonging to the release system of the brake cylinder on the disc with parking brake such as cables, handles, springs, fasteners and fixings, etc... 
Retightening of fasteners and lubrication of parts",
FRE08,FRE08T16,Sistemas de freno electromagnéticos,Regulación de proximidad a carril de Patin de Sistema de freno electromagnetico de accionamiento neumático o eléctrico,FRE08T16,Electromagnetic braking systems,Adjustment of proximity to the rail of the pneumatically or electrically actuated electromagnetic brake system shoe,
FRE08,FRE08T79,Sistemas de freno electromagnéticos,"Denuncias de fallos en el funcionamiento de elementos pertenecientes al Sistemas de freno electromagnéticos como Patines, Elementos de suspensión y Aparellaje eléctrico interno.",FRE08T79,Electromagnetic braking systems,"Reports of failures in the functionality of parts belonging to Electromagnetic braking systems such as Shoes, Suspension items and interna Electrical gear.",
FRE0801,FRE0801T62,Patines,Sustitución y desecho de Patin por desgaste o daño en láminas de contacto,FRE0801T62,Shoes,Replacement and disposal of the shoe due to wear or damage on the contact strips,
FRE0801,FRE0801T70,Patines,"Reparación o sustitución de elementos pertenecientes al Patin como tornillería, barras de colocacion, laterales, etc…  Se incluye eapriete de tornillería",FRE0801T70,Shoes,"Repair or replacement of elements belonging to the shoe such as fasteners, fitting bars, sides, etc... 
Includes retightening of fasteners",
FRE0802,FRE0802T62,Elementos de suspensión,"Sustitución y desecho de elementos pertenecientes al Sistema de suspensión del patin como bielas, muelles, bulones, pasadores, arandelas, tornillería de sujeción… etc, por no ser reparable  ",FRE0802T62,Suspension items,"Replacement and disposal of elements belonging to the shoe suspension system such as rods, springs, bolts, pins, washers, fasteners etc... that are beyond repair  ",
FRE0802,FRE0802T70,Elementos de suspensión,"Reparación de elementos pertenecientes al Sistema de suspensión del patin de freno electromagnetico como bielas, muelles, bulones, pasadores, arandelas, tornillería de sujeción, etc... 
Se incluye reapriete de tornillería y engrase de elementos",FRE0802T70,Suspension items,"Repair of elements belonging to the suspension system of the electromagnetic brake shoe such as rods, springs, bolts, pins, washers, fasteners, etc...  
Includes retightening of the fasteners and lubrication of elements",
FRE0803,FRE0803T70,Aparellaje eléctrico,"Reparación de conectores, cableado y sujeciones, bobina electroiman, etc",FRE0803T70,Electrical gear,"Repair of connectors, wiring, fixings, coil, electromagnetic, etc...",
FRE080301,FRE080301no,    Bobina electroimán,,FRE080301no,Electromagnetic coil,,
FRE080302,FRE080302no,    Conectores y cableado,,FRE080302no,Connectors and cables,,
FRE0804,FRE0804T62,Conexiones neumáticas,"Sustitución y desecho de elementos pertenecientes al conexionado neumático de Sistemas de freno electromagnetico de accionamiento neumático como cilindros, racores, juntas, tubería flexible y rígida, etc…, por no ser reparable ",FRE0804T62,pneumatic connections,"Replacement and disposal of elements belonging to the pneumatic connections of the pneumatically actuated electromagnetic brake systems such as cylinders, fittings, joints, flexible and rigid pipe, etc... that are beyond repair ",
FRE0804,FRE0804T70,Conexiones neumáticas,"Reparación de elementos pertenecientes al conexionado neumático de Sistemas de freno electromagnetico de accionamiento neumático como cilindros, racores, juntas, tubería flexible y rígida, etc…  
Se incluye reapriete de tornillería y engrase de elementos",FRE0804T70,pneumatic connections,"Repair of elements belonging to the pneumatic connections of the pneumatically actuated electromagnetic brake systems such as cylinders, fittings, joints, flexible and rigid pipe, etc...  
Includes retightening of the fasteners and lubrication of elements",
FRE09,FRE09T41,Electrónica de control de freno y antibloqueo,"Actualización o recarga de software de electrónica de control de freno y antibloqueo para equipos neumáticos o hidráulicos  
Se incluye la Modificación de parámetros y descarga de datos",FRE09T41,Brake control electronic system,"Update or reload of brake and wheel slide control electronics software for pneumatic or hydraulic equipment   
Includes the modification of parameters and download of data",
FRE09,FRE09T42,Electrónica de control de freno y antibloqueo,Reset de electrónicas de control de freno y antibloqueo para equipos neumáticos o hidráulicos   ,FRE09T42,Brake control electronic system,Reset of brake and wheel slide control electronics for pneumatic or hydraulic equipment   ,
FRE09,FRE09T70,Electrónica de control de freno y antibloqueo,"Sustitución de tarjetas de entrada, de salida, CPU, Fuentes de alimentación, etc… de electrónicas de control de freno y antibloqueo para equipos neumáticos o hidráulicos  Se incluyen reparaciones mecánicas como sustitución de tornillería",FRE09T70,Brake control electronic system,"Replacement of input and output cards, CPU, power sources, etc... of the brake and wheel slide control electronics for pneumatic or hydraulic equipment  Include mechanical repairs such as replacement of fasteners",
FRE09,FRE09T71,Electrónica de control de freno y antibloqueo,Sustitución y reparación posterior de electrónicas de control de freno y antibloqueo completas para equipos neumáticos o hidráulicos,FRE09T71,Brake control electronic system,Replacement and subsequent repair of complete brake and wheel slide control electronics for pneumatic or hydraulic equipment,
FRE09,FRE09T79,Electrónica de control de freno y antibloqueo,"Denuncias de fallos en el sistema de control electrónico de freno y antibloqueo del tren como frenadas de urgencia sin causa justificada, fallos en autotest de freno, bloqueo de ruedas, etc... sin encontrar anomalía despues de la revision y comprobacion pertinente",FRE09T79,Brake control electronic system,"Reports of failures in the train's electronic control of braking and anti-slide protection such as emergency braking without a justified cause, failures in the braking self-test, wheels blocking, etc... without finding an anomaly after the relevant inspection and check",
FRE0901,FRE0901no,Rack,,FRE0901no,Rack,,
FRE0902,FRE0902no,Fuente de alimentación,,FRE0902no,Power supply ,,
FRE0903,FRE0903no,Tarjeta CPU,,FRE0903no,CPU card,,
FRE0904,FRE0904no,Tarjeta I/O,,FRE0904no,I/O card,,
FRE0905,FRE0905no,Tarjeta Comunicaciones,,FRE0905no,Comunications card,,
FRE0906,FRE0906no,Conectores,,FRE0906no,Connectors,,
FRE10,FRE10T70,Llaves de aislamiento ,"Reparación o sustitución de elementos pertenecientes a las Llaves de aislamiento externas a paneles neumáticos como muelles, actuadores, manetas, juntas, sujeciones, tornillería, etc… reparación llaves de condena remota de Sistemas de freno o suspensión incluyendo  accionamientos como sirgas, muelles, manetas, etc...reparación de Llaves en testero de tubería de Sistemas de freno y Reserva principal de aire",FRE10T70,Insulation switches,"Repair or replacement of elements belonging to the isolation valves external to pneumatic panels such as springs, actuators, handles, joints, fixings, fasteners, etc... Repair of remote isolation valves of the brake or suspension systems including actuators such as cables, springs, handles, etc... Repair of valves on bodyend of brake system and main air supply pipes",
FRE10,FRE10T71,Llaves de aislamiento ,Sustitución y reparación posterior de Llaves de aislamiento de tubería del Sistema de freno y Reserva principal de aire en testeros  Se incluyen Llaves de condena remota de Sistemas de freno y suspensión,FRE10T71,Insulation switches,Replacement of subsequent repair of of isolation valves of brake system and main air supply pipes on bodyends Includes remote isolation valves of brake and suspension systems,
FRE10,FRE10T79,Llaves de aislamiento ,Inspección sin encontrar anomalía en el funcionamiento de Llaves de aislamiento,FRE10T79,Insulation switches,Inspection without finding anomaly in Isolation cocks,
FRE11,FRE11T79,Válvulería de suspensión secundaria,"Inspección sin encontrar anomalía en el funcionamiento de Válvulería de suspensión secundaria en zona bogie como Tomas manometricas, válvulas de seguridad, válvulas de nivelación y varilla, válvulas de presión media y válvulas compensadoras.",FRE11T79,Secondary Suspension valves,"Inspection without finding anomaly in Secondary Suspension valves such as Pressure test points, Safety valves, Leveling valves and rod, Medium pressure valves and Compensating valves.",
FRE1101,FRE1101T62,Toma manométrica,Sustitución y desecho de Toma manometrica de Válvulería de suspensión secundaria en Bogie por no ser reparable,FRE1101T62,Pressure test point,Replacement and disposal of the Pressure test point of the bogie's secondary suspension valves that is beyond repair,
FRE1101,FRE1101T70,Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica de Válvulería de suspensión secundaria en Bogie como juntas, muelles, racor enchufable y sujeción, etc…  Se incluye limpieza o engrase de toma manometrica   ",FRE1101T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the bogie's secondary suspension valves such as joints, springs, plug-in fitting and fixing, etc...  Includes cleaning and lubrication of the pressure test point   ",
FRE1102,FRE1102T16,Válvula de seguridad,"Regulación del tarado de válvula de Seguridad de Válvulería de suspensión secundaria en Bogie No incluye válvula de seguridad de Sistema de produccion y tratamiento de aire, GTA10",FRE1102T16,Safety valve,"Setting adjustment of the safety valve of the secondary suspension valves on the bogie  Does not include the safety valve of the air production and treatment system, GTA10",
FRE1102,FRE1102T62,Válvula de seguridad,"Sustitución y desecho de válvula de Seguridad en Sistema de suspensión secundaria por no ser reparable o por normativa vigente  No incluye válvula de seguridad de Sistema de produccion y tratamiento de aire, GTA10",FRE1102T62,Safety valve,"Replacement and disposal of the safety valve on the secondary suspension system that is beyond repair or due to current regulations  Does not include the safety valve of the air production and treatment system, GTA10",
FRE1102,FRE1102T71,Válvula de seguridad,"Sustitución y reparación posterior de válvula de Seguridad en Sistema de suspensión secundaria  No incluye válvula de seguridad de Sistema de produccion y tratamiento de aire, GTA10",FRE1102T71,Safety valve,"Replacement and subsequent repair of the safety valve on the secondary suspension system  Does not include the safety valve of the air production and treatment system, GTA10",
FRE1103,FRE1103T16,Válvula de nivelación,"Regulación de válvula de nivelación de suspensión secundaria  En caso de Regulación de altura de Resortes neumáticos, FRE1106T16",FRE1103T16,Leveling valve,"Adjustment of the secondary suspension levelling valve  In case of height adjustment of pneumatic springs, FRE1106T16",
FRE1103,FRE1103T71,Válvula de nivelación,Sustitución y reparación posterior de válvula de nivelación  de Válvulería de suspensión secundaria en Bogie,FRE1103T71,Leveling valve,Replacement and subsequent repair of the levelling valve of the secondary suspension valves on the bogie,
FRE1104,FRE1104T71,Válvula de presión media,Sustitución y reparación posterior de válvula de presión  de Válvulería de suspensión secundaria en Bogie,FRE1104T71,Medium pressure valve,Replacement and subsequent repair of the pressure valve of the secondary suspension valves on the bogie,
FRE1105,FRE1105T71,Válvula compensadora,Sustitución y reparación posterior de válvula compensadora  de Válvulería de suspensión secundaria en Bogie,FRE1105T71,Compensating valve,Replacement and subsequent repair of the compensating valve of the secondary suspension valves on the bogie,
FRE1105,FRE1105T70,Válvula compensadora,"Reparación o sustitución de elementos de la válvula compensadora de Válvulería de suspensión secundaria en Bogie como juntas, muelles, tornilleria, sujeción, etc…",FRE1105T70,Compensating valve,"Repair or replacement of elements of the compensating valve on the bogie's secondary suspension valves such as o-rings, springs, fixing, etc…",2021-09-02 00:00:00
FRE1106,FRE1106T16,Varilla reguladora,Regulación de altura de Resortes neumáticos mediante Varilla de válvula de nivelación de Valvuleria de suspensión secundaria en Bogie,FRE1106T16,Levelling rod,Height adjustment of pneumatic springs by means of the levelling valve rod of the secondary suspension valves on the bogie,
FRE1106,FRE1106T62,Varilla reguladora,Sustitución y desecho de Varilla reguladora de Valvuleria de suspensión secundaria en Bogie,FRE1106T71,Levelling rod,Replacement and disposal of the levelling valve rod of the secondary suspension valves on the bogie,2022-12-09 00:00:00
FRE1106,FRE1106T71,Varilla reguladora,Sustitución y reparación posterior de Varilla reguladora de Valvuleria de suspensión secundaria en Bogie,FRE1106T71,Levelling rod,Replacement and subsequent repair of the levelling valve rod of the secondary suspension valves on the bogie,2022-12-09 00:00:00
FRE12,FRE12T62,Mangueras Flexibles,"Sustitución de Mangueras neumáticas flexibles de conexionado de Paneles neumáticos  
No se incluyen Manguera flexible en Módulo Produccion y tratameinto de aire, GTA14  
En Bogie, BOG13  
En Enganches, ENG0106 y ENG0202  
Mangueras conexión cilindros a instalación neumática de bogie, FRE0602 y FRE0702  
Resto de Mangueras flexibles en caja y bajo bastidor, CAJ1101  ",FRE12T62,Flexible hoses,"Replacement of pneumatic panel connecting air hoses  
Does not include the hose on the air production and treatment module, GTA14.  
On bogie, BOG13.  
On Couplers, ENG0106 and ENG0202.  
Cylinders to bogie pneumatic installation connection hoses, FRE0602 and FRE0702.  
Other flexible hoses on the carbody and underframe, CAJ1101  ",
FRE12,FRE12T70,Mangueras Flexibles,"Reparación o sustitución de elementos pertenecientes a Mangueras neumáticas flexibles de conexionado de Paneles neumáticos como recores, juntas, arandelas cónicass, etc... Se incluye el reapriete de Mangueras flexibles de conexionado de Paneles neumáticos  
No se incluyen Manguera flexible en Módulo Produccion y tratameinto de aire, GTA14  
En Bogie, BOG13  
En Enganches, ENG0106 y ENG0202  
Mangueras conexión cilindros a instalación neumática de bogie, FRE0602 y FRE0702  
Resto de Mangueras flexibles en caja y bajo bastidor, CAJ1101",FRE12T70,Flexible hoses,"Repair or replacement of elements belonging to the  pneumatic panel connecting air hoses such as, fittings, joints, cónicasl washers, etc...
Includes the retightening of pneumatic panel connecting hoses 
Does not include the hose on the air production and treatment module, GTA14.  
In bogie, BOG13.  
In Couplers, ENG0106 and ENG0202.  
Cylinders to bogie pneumatic installation connection hoses, FRE0602 and FRE0702.  
Other flexible hoses on the carbody and underframe, CAJ1101",
FRE12,FRE12T79,Mangueras Flexibles,Denuncias de fugas de aire en Mangueras flexibles de conexionado de Paneles neumáticos sin encontrar anomalía despues de la revision y comprobacion pertinente,FRE12T79,Flexible hoses,Reports of pneumatic panel connecting air hoses  without finding an anomaly after the relevant inspection and check,
